评论内容,商品ID
待在没有手机信号的老家把这本书看完了，看的比较细，比较慢，金庸的确是大家，但这本书本来应该更好的，最后的一部分实在太草率，整本书人物性格的转换也不够流畅，尤其岳灵珊林平之。不过纵是缺点多多，但金庸武侠中我最喜欢的应该还是令狐和杨过了。,1002299
【笑傲江湖】。标题本身就是最佳概括。爱令狐冲，没救。,1002299
不知道怎么给星了…… 令狐冲对岳灵珊的那份情啊……！真是让我又爱又恨。想来盈盈真是奇女子一枚，只有这样的人，才能将她的冲哥对小师妹的情当做是他深情的证据而不是吃醋的依凭吧。此结局甚好，隐居而不问世事，合我心意。,1002299
真舍不得看完，以后家里的书柜一定会摆一排金庸全集。,1002299
高山流水，琴瑟丝竹，与情意相投者悠然于江湖似乎是追求的极致。令狐冲与岳灵珊或仪琳都只做得到三者之一，唯有和任盈盈相处时，终于凑齐了全数。【易读易上瘾……】,1002299
想了好几天，总觉得如果岳灵珊不死，不管令狐冲多聪明、多有慧根，她这一篇儿在他心里是翻不过去的，不管盈盈多么懂事体贴、情深意重，如果岳灵珊不死，令狐冲也只会当她是好朋友。友邻们，你们说呢？,1002299
我喜欢，都是KERSTIN带来的，我每次第一个读，因为她毕竟是我的同桌，哈哈，我记得当时出去春游，我都不想耍，如饥似渴地看金庸，基本上把几部重要的全部看完了，几乎一天一本的速度。,1002299
最喜欢的是令狐冲,1002299
这部大名鼎鼎的武侠，我是第一次读，之所以有兴趣读，是因为很喜欢“笑傲江湖”四个字。至于这部小说本身呢，人物塑造浮夸，很多时候为了悬念或是为了强调人物的某一方面的性格特点，而把人塑造得蠢笨到不真实。,1002299
金庸生涯巅峰作，结尾稍软弱。任我行是基督山恩仇录，林平之是王子复仇记，劳德诺是无间道。惟岳不群最入木三分。,1002299
小学五年级开始看，童年回忆啊。,1002299
难得有个喜欢的男主w,1002299
1.令狐冲是个精分的角色，前半本和后半本几乎都不是同一个人了。2.任盈盈是那种娇纵的，喜欢一个人就要把自己的一切都给他，但又心思缜密的姑娘，这样的姑娘才有资格真傲娇。3.岳灵珊让人恶心，恶心程度超过了阿紫。,1002299
里面的人物没有一个喜欢的，所以极大的降低了对全书的好感，不过金老爷子在后记里说他其实写的是政治，这就不怪了，女孩子本就没有几个喜欢政治的嘛,1002299
你们不知道，我有多爱令狐冲。,1002299
权力与爱情,1002299
滑头狗屎运多情男屌丝偶遇机智深情白富美。任盈盈盖过令狐冲啊！,1002299
很多书的确是需要人生有了经历有了成熟点的三观才能看出更多内涵。,1002299
继萧峰之后，我也很讨厌令狐冲,1002299
唉,1002299
怕是第一次读完金庸的小说呢= =...玄幻神马的确实弱爆了...,1002299
金庸小说最喜爱的一本。,1002299
时至今日我仍然想说这是一本屎，在语录界的地位甚至比不上《毛主席语录》，傻、装、假、做，四大皆空。,1003000
想不到这种书都会受到如此追捧。故事讲的极其混乱，对话明明很弱智很做作却偏偏一副很有哲理的装逼样。,1003000
我要这天，再遮不住我眼，要这地，再埋不了我心，要这众生，都明白我意，要那诸佛，都烟消云散！,1003000
我一直很难明白，文笔这么差，自此这么罗嗦，还这么多人说好，为毛啊，为毛,1003000
半星。1、《西游记》故事情节的模子+《大话西游》的风格和影子(本质)。2、几个“女主”雷同。3、平铺直叙的描写加对话，除了一个劲的抒情和废话，此书本身矫情、空洞。,1003000
豆瓣上的评分让我很尴尬,1003000
躺在宿舍里看的，看完掩上卷，躺平了身子打了个哈欠，却不知道怎么觉得这么难受，难受得想哭，彻头彻尾的悲剧人物是你从何种角度都能联系到生活，即使他们活在另外的时空里——我走得再远，也走不出这片天么？,1003000
日本西游题材相同套路的几十年前就泛滥了，这本书没想到能获得这么高的评价，实在是言过其实。剧情老套又无聊，差评！,1003000
故作深沉,1003000
我要这天，再遮不住人民之眼，要这地，再挡不了自由之心，要那屁党派，都烟消云散！,1003000
大学的时候看也许还会有些感慨。而现在，你之灵药，我之蜡丸吧。,1003000
因为我想活着，我不能掩藏我心中的本欲，正如我心中爱你美丽，又怎能嘴上装四大皆空。[不知如何赞美这本书。只是喜欢。最后那只猪的爱情着实感动了我。不能完全读懂这本书想传达给我们的全部精神。至少我读懂爱。理想。追求。活着的意义就好了。波澜不惊的言语确是暗藏玄机。我甚至窃喜我没能因为前半段故事的无聊而错过后半截的精彩。现在想来还是感动。不是来自主角的感动 而是那些看似绿叶一般衬托他们的小角色。（紫霞，阿月，小松鼠。）众生皆平等。]我有一个梦，我想我飞起时，那天也让开路，我入海时，水也分成两边，众神诸仙，见我也称兄弟，无忧无虑，天下再无可拘我之物，再无可管我之人，再无我到不了之处，再无我做不成之事，再无我战不胜之物。,1003000
虚无主义文本！,1003000
这是读的第六遍还是第七遍已经记不清了，还是看到紫霞绝情话语时会伤心，看到八戒投入火中和嫦娥拥抱会落泪，看到小白龙在一片废墟的花果山上降雨会鼻酸，读了很多次，每次都被不同的段落戳中，这就是经典吧，我记忆最深刻的一句话不是那有名的【我要这天，再遮不住我眼，要这地，再埋不了我心，要这众生，都明白我意，要那诸佛，都烟消云散】，而是那被悠悠唱出的【生我何用，不能欢笑，灭我何用，不减狂骄】,1003000
周星驰成了现象，是我们的悲哀，还是社会本身就是一个悲剧，一般吧，走周星驰的路线,1003000
那年我15岁，中二的年纪刚刚开始，然后我看到了那只猴子，我记得火刑柱上他渐渐暗淡的眼神。“我要这天，再遮不住我眼，要这地，再埋不住我心。”,1003000
我要这天，再遮不住我眼，要这地，再埋不了我心，要这众生，都明白我意，要那诸佛，都烟消云散！,1003000
佛曰：人生有八苦：生老病死，爱别离，怨长久，求不得，放不下。 可是正因为有苦，我才因之为人，因之亦感得世间喜乐爱恨；正因之是瞬逝的脆弱肉身，我才会心动会流泪会想尽可能的看更多的这万花造物。正因为有欲求，才会有得到的圆满。我不欲成仙，不欲放下，我要这天，再遮不住我眼，要这地，再埋不了我心，要这众生，都明白我意，要那诸佛，都烟消云散！,1003000
第一次看悟空传还是初中，那时遍地的租书店还没有消失，这本书摆在显眼位置被翻烂了，那时候看不懂孙悟空，看不懂西游，现在重看，感慨良多，只要你有一天还会喜欢孙悟空，你就没有老，叛逆的人永远长不大，不知道是可贵还是可怜,1003000
我很喜欢这本书。高中的时候看这个，当时生物班里有个同学很爱这故事，我却一点都看不懂，觉得也就写的一般吧，事实证明我就是没有慧根。后来高考，再后来，大一结束的那年暑假机缘巧合下又看过了一次，看到结尾的时候大哭。现在偶尔想起那时候，恍如隔世。,1003000
大三的时候看到，惊为神作。中间的许多句子，都可以作为BBS上的签名档（事实上我也这么干了）竟然是我的师兄写的，竟然才比我大两岁。,1003000
感觉比较适合高中生和初中生看 评论里好多人都是高中初中看的 看完觉得有点浅了,1003000
十年前看的。内容忘的差不多了，就记得看得时候挺乐的。看到本书底下各种高深莫测解构建构现代后现代奔跑自由妄想颠覆的评论我就发虚。,1003000
四星因为这真是一个相当有意思的故事！缺一星因为说实话我有点看不懂~,1003000
2006年南下的火车上，我遇见了蓓。M，V，宣传部，我们的交集。而这本书，是我们唯一的交谈。,1003000
我真是看过，只是没怎么看明白，但是确实是本好书。,1003000
2001年读过，读的捧腹大笑有若有所思。,1003000
